chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1721770222,2024-07-23T21:30:22Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770224,2024-07-23T21:30:24Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770226,2024-07-23T21:30:26Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770228,2024-07-23T21:30:28Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770233,2024-07-23T21:30:33Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=549, CO2=489 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770240,2024-07-23T21:30:40Z,KO4TL-1,KO4TL-1,,0,!,KO4TL-1,/-,45.500000,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,this is recieved in logdir
0,1721770252,2024-07-23T21:30:52Z,KO4TL-1,KO4TL-1,,0,!,KO4TL-1,R&,45.510167,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,hello world
0,1721770252,2024-07-23T21:30:52Z,KO4TL-1,KO4TL-1,,0,!,KO4TL-1,/-,45.500000,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,this is recieved in logdir
0,1721770263,2024-07-23T21:31:03Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=415, CO2=491 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770270,2024-07-23T21:31:10Z,KO4TL-1,KO4TL-1,,0,!,KO4TL-1,/-,45.500000,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,this is recieved in logdir
0,1721770282,2024-07-23T21:31:22Z,KO4TL-1,KO4TL-1,,0,!,KO4TL-1,/-,45.500000,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,this is recieved in logdir
0,1721770328,2024-07-23T21:32:08Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770330,2024-07-23T21:32:10Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770332,2024-07-23T21:32:12Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770334,2024-07-23T21:32:14Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770339,2024-07-23T21:32:19Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=761, CO2=486 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770362,2024-07-23T21:32:42Z,KO4TL-1,KO4TL-1,,0,!,KO4TL-1,R&,45.510167,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,hello world
0,1721770369,2024-07-23T21:32:49Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=843, CO2=485 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770401,2024-07-23T21:33:21Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=259, CO2=479 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770432,2024-07-23T21:33:52Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=538, CO2=478 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770462,2024-07-23T21:34:22Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=250, CO2=481 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770492,2024-07-23T21:34:52Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=133, CO2=483 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770521,2024-07-23T21:35:21Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=846, CO2=479 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770551,2024-07-23T21:35:51Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=889, CO2=474 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770582,2024-07-23T21:36:22Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=344, CO2=473 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770612,2024-07-23T21:36:52Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=518, CO2=488 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770642,2024-07-23T21:37:22Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=720, CO2=509 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770671,2024-07-23T21:37:51Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=932, CO2=485 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770701,2024-07-23T21:38:21Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=174, CO2=475 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770732,2024-07-23T21:38:52Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=879, CO2=470 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770762,2024-07-23T21:39:22Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=771, CO2=467 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770792,2024-07-23T21:39:52Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=913, CO2=470 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770821,2024-07-23T21:40:21Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=536, CO2=471 PPM, Temp=25 ^C, RelHum=44 %",
0,1721770851,2024-07-23T21:40:51Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=229, CO2=471 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770882,2024-07-23T21:41:22Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=900, CO2=471 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770912,2024-07-23T21:41:52Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=585, CO2=469 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770931,2024-07-23T21:42:11Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770931,2024-07-23T21:42:11Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770932,2024-07-23T21:42:12Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770934,2024-07-23T21:42:14Z,KO4TL-1,KO4TL-1,,0,:,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770939,2024-07-23T21:42:19Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=390, CO2=467 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770971,2024-07-23T21:42:51Z,KO4TL-1,KO4TL-1,,0,T,KO4TL-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=166, CO2=465 PPM, Temp=25 ^C, RelHum=43 %",
0,1721770222,2024-07-23T21:30:22Z,M0XER-3,M0XER-3,,0,:,M0XER-3,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770224,2024-07-23T21:30:24Z,M0XER-3,M0XER-3,,0,:,M0XER-3,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770226,2024-07-23T21:30:26Z,M0XER-3,M0XER-3,,0,:,M0XER-3,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770228,2024-07-23T21:30:28Z,M0XER-3,M0XER-3,,0,:,M0XER-3,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1721770233,2024-07-23T21:30:33Z,M0XER-3,M0XER-3,,0,T,M0XER-3,/ ,,,,,,,,,"DireWolf, WB2OSZ",,"SCD30 Sensor: Seq=549, CO2=489 PPM, Temp=25 ^C, RelHum=44 %",
