chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1724106456,2024-08-19T22:27:36Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106458,2024-08-19T22:27:38Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106460,2024-08-19T22:27:40Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106462,2024-08-19T22:27:42Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106486,2024-08-19T22:28:06Z,KK7UUJ-1,KK7UUJ-1,,0,!,KK7UUJ-1,R&,45.510167,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,hello world
0,1724106788,2024-08-19T22:33:08Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106790,2024-08-19T22:33:10Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106792,2024-08-19T22:33:12Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106794,2024-08-19T22:33:14Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106985,2024-08-19T22:36:25Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106987,2024-08-19T22:36:27Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106989,2024-08-19T22:36:29Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724106991,2024-08-19T22:36:31Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724107045,2024-08-19T22:37:25Z,KK7UUJ-1,KK7UUJ-1,,0,!,KK7UUJ-1,/-,45.510167,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,169TxC -2.40C 242.52hPa 4.65V 04S UO SEE Lab Pico Weather Balloon 24.5
0,1724107105,2024-08-19T22:38:25Z,KK7UUJ-1,KK7UUJ-1,,0,!,KK7UUJ-1,/-,45.510167,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,169TxC -2.40C 242.52hPa 4.65V 04S UO SEE Lab Pico Weather Balloon 24.5
0,1724107165,2024-08-19T22:39:25Z,KK7UUJ-1,KK7UUJ-1,,0,!,KK7UUJ-1,/-,45.510167,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,169TxC -2.40C 242.52hPa 4.65V 04S UO SEE Lab Pico Weather Balloon 24.5
0,1724107225,2024-08-19T22:40:25Z,KK7UUJ-1,KK7UUJ-1,,0,!,KK7UUJ-1,/-,45.510167,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,169TxC -2.40C 242.52hPa 4.65V 04S UO SEE Lab Pico Weather Balloon 24.5
0,1724108222,2024-08-19T22:57:02Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724108224,2024-08-19T22:57:04Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724108226,2024-08-19T22:57:06Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724108228,2024-08-19T22:57:08Z,KK7UUJ-1,KK7UUJ-1,,0,:,KK7UUJ-1,/ ,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1724108282,2024-08-19T22:58:02Z,KK7UUJ-1,KK7UUJ-1,,0,!,KK7UUJ-1,/-,45.510167,-122.680000,,,,,,,"DireWolf, WB2OSZ",,,169TxC -2.40C 242.52hPa 4.65V 04S UO SEE Lab Pico Weather Balloon 24.5
